Complaint_Text,Category,Urgency,Date_Submitted
Assignments are graded unfairly. needs fixing,Academic,Low,2026-02-16
Need better first aid kits in the Main Block.,Health,High,2026-02-24
Timetable is poorly managed with no breaks.,Academic,Low,2026-01-26
I am facing an issue where Food is served cold during dinner time. very annoying,Mess,High,2026-01-25
No basic medicines available in the dispensary. very annoying,Health,Medium,2026-01-08
Hygiene issues at the clinic close to 3rd floor.,Health,High,2026-03-19
Assignments are graded unfairly. frustrating,Academic,Low,2026-01-30
Sports ground is too muddy to play. very annoying,Sports,Medium,2026-03-31
Window pane is broken in Lab 3. urgent,Maintenance,Medium,2026-03-04
Water cooler on the Room 402 is broken.,Maintenance,Medium,2026-02-28
This is Fan is making weird noises in 3rd floor.,Maintenance,Low,2026-03-14
Software licenses expired on lab machines in 3rd floor.,IT,Medium,2026-04-12
It is Not enough basketballs available.,Sports,Medium,2026-03-12
Bicycles are being stolen from the parking lot.,Security,High,2026-04-13
Need more books on Machine Learning in the library. urgent,Library,Low,2026-01-24
There is a water leak in the Library Section.,Maintenance,Medium,2026-03-21
Fan is making weird noises in Room 402.,Maintenance,Low,2026-03-18
I am facing an issue where Water supply in mess area was disrupted.,Mess,Low,2026-01-02
I am facing an issue where Gym equipment requires maintenance.,Sports,Medium,2026-01-21
I am facing an issue where No basic medicines available in the dispensary.,Health,Medium,2026-01-22
Printers not working in the Main Block. bad,IT,High,2026-03-28
Assignments are graded unfairly.,Academic,Medium,2026-01-12
It is Water supply in mess area was disrupted.,Mess,Medium,2026-01-26
There is a water leak in the Lab 3. terrible,Maintenance,Medium,2026-02-09
Librarian was unhelpful today.,Library,Medium,2026-03-15
Floodlights at the football ground are not working.,Sports,Medium,2026-02-27
I am facing an issue where CCTV cameras are not functional in Room 402.,Security,High,2026-01-31
I am facing an issue where No vegetarian options available in the mess today.,Mess,Medium,2026-03-17
Timetable is poorly managed with no breaks. needs fixing,Academic,High,2026-02-24
Assignments are graded unfairly.,Academic,Medium,2026-04-08
I am facing an issue where Elevator in Building C is stuck frequently.,Maintenance,Medium,2026-01-05
Cutlery is frequently dirty.,Mess,High,2026-03-11
This is Hygiene issues at the clinic close to Hostel B. very annoying,Health,High,2026-02-23
I am facing an issue where CCTV cameras are not functional in Building C.,Security,High,2026-04-12
Online journal access is revoked.,Library,Medium,2026-01-05
Not enough elective courses offered this semester.,Academic,Low,2026-04-10
Bicycles are being stolen from the parking lot.,Security,High,2026-03-03
Food is served cold during dinner time.,Mess,Medium,2026-02-10
Library closes too early during exam week.,Library,Medium,2026-02-11
Hygiene issues at the clinic close to Room 402. frustrating,Health,Medium,2026-04-02
Need better first aid kits in the Lab 3. terrible,Health,High,2026-01-29
I am facing an issue where Food is served cold during dinner time.,Mess,High,2026-03-25
I am facing an issue where Not enough quiet study spaces.,Library,Low,2026-01-06
I am facing an issue where Floodlights at the football ground are not working.,Sports,Medium,2026-02-10
It is Exam schedule is clashing with placement drives. very annoying,Academic,Medium,2026-03-30
Cutlery is frequently dirty.,Mess,Medium,2026-03-12
Floodlights at the football ground are not working. frustrating,Sports,Low,2026-03-30
It is Librarian was unhelpful today.,Library,Medium,2026-01-04
Water supply in mess area was disrupted.,Mess,Medium,2026-04-05
Library closes too early during exam week. needs fixing,Library,Medium,2026-01-15
Doctor was not available at the clinic near Hostel A. frustrating,Health,Medium,2026-01-11
I am facing an issue where Bicycles are being stolen from the parking lot. terrible,Security,High,2026-02-28
Gym equipment requires maintenance. terrible,Sports,Low,2026-03-23
I am facing an issue where Chairs are uncomfortable in the reading room. urgent,Library,Medium,2026-03-13
Printers not working in the Room 402. terrible,IT,Low,2026-01-15
Outsiders entering the campus without checking.,Security,Medium,2026-01-31
Library closes too early during exam week.,Library,Low,2026-03-11
Not enough basketballs available.,Sports,Medium,2026-03-17
Need better first aid kits in the Building C.,Health,High,2026-02-21
I am facing an issue where Exam schedule is clashing with placement drives.,Academic,High,2026-04-10
Window pane is broken in Hostel B.,Maintenance,Medium,2026-01-21
This is Not enough quiet study spaces.,Library,Low,2026-01-02
Sports ground is too muddy to play.,Sports,Medium,2026-01-26
Cutlery is frequently dirty.,Mess,Medium,2026-04-12
Software licenses expired on lab machines in Library Section.,IT,High,2026-01-10
The internet in the 3rd floor is too slow for studying.,IT,Medium,2026-02-02
I am facing an issue where Parking lot lights are out. needs fixing,Security,High,2026-02-25
It is Software licenses expired on lab machines in Hostel A. very annoying,IT,Low,2026-03-14
It is Wi-Fi keeps disconnecting in Main Block.,IT,Medium,2026-03-28
Assignments are graded unfairly.,Academic,Medium,2026-01-16
It is Professor missed the scheduled lecture without notice.,Academic,High,2026-02-04
Software licenses expired on lab machines in Lab 3. urgent,IT,Medium,2026-03-27
LAN cable missing in the Hostel B.,IT,Medium,2026-01-19
I am facing an issue where Course curriculum needs updating for industry standards. needs fixing,Academic,High,2026-03-14
Washrooms lack basic hygiene supplies in Hostel A. urgent,Maintenance,Low,2026-01-06
Medical room is closed during night hours near Building C. frustrating,Health,High,2026-01-30
I am facing an issue where Menu is repetitive and lacks nutrition.,Mess,High,2026-03-07
Hygiene issues at the clinic close to Library Section.,Health,High,2026-03-08
This is Parking lot lights are out.,Security,High,2026-03-18
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-01-07
Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-04-16
The internet in the Library Section is too slow for studying. needs fixing,IT,High,2026-03-30
I am facing an issue where Printers not working in the Lab 3. terrible,IT,Medium,2026-02-01
Hostel AC is not cooling in Lab 3. Please fix ASAP. bad,Maintenance,Medium,2026-04-13
Course curriculum needs updating for industry standards. urgent,Academic,Medium,2026-03-04
Assignments are graded unfairly.,Academic,Low,2026-04-16
This is Food is served cold during dinner time.,Mess,High,2026-01-24
I am facing an issue where Not enough elective courses offered this semester. bad,Academic,Medium,2026-02-14
Cutlery is frequently dirty.,Mess,Medium,2026-01-09
Window pane is broken in Library Section.,Maintenance,Medium,2026-02-22
I am facing an issue where Online journal access is revoked.,Library,Medium,2026-04-12
It is Not enough basketballs available. needs fixing,Sports,Medium,2026-03-12
Lights are constantly flickering in Building C.,Maintenance,Low,2026-04-01
Outsiders entering the campus without checking.,Security,High,2026-03-13
Timetable is poorly managed with no breaks. frustrating,Academic,Medium,2026-04-05
Elevator in Room 402 is stuck frequently.,Maintenance,Medium,2026-02-16
Menu is repetitive and lacks nutrition. frustrating,Mess,High,2026-01-20
Professor missed the scheduled lecture without notice.,Academic,Low,2026-03-15
Timetable is poorly managed with no breaks. bad,Academic,Medium,2026-02-18
This is Window pane is broken in Building C. urgent,Maintenance,Medium,2026-03-14
No security guard present at the back gate. very annoying,Security,High,2026-04-16
Computers in the Room 402 lab are not working.,IT,High,2026-02-10
Gym equipment requires maintenance. bad,Sports,Medium,2026-01-20
I am facing an issue where Sports ground is too muddy to play.,Sports,Medium,2026-03-20
LAN cable missing in the 3rd floor.,IT,High,2026-03-20
Indoor stadium is kept locked on weekends.,Sports,Medium,2026-03-16
I am facing an issue where Wi-Fi keeps disconnecting in Hostel B.,IT,Medium,2026-01-10
I am facing an issue where Cutlery is frequently dirty. very annoying,Mess,Medium,2026-02-20
This is There is a water leak in the Room 402.,Maintenance,Medium,2026-04-09
Sports ground is too muddy to play.,Sports,Medium,2026-03-19
I am facing an issue where Assignments are graded unfairly.,Academic,Medium,2026-02-13
I am facing an issue where Food is served cold during dinner time. needs fixing,Mess,Medium,2026-03-03
Professor missed the scheduled lecture without notice. terrible,Academic,High,2026-03-08
Need more books on Machine Learning in the library.,Library,Medium,2026-03-10
Timetable is poorly managed with no breaks.,Academic,High,2026-04-16
Not enough quiet study spaces. bad,Library,Low,2026-03-23
I am facing an issue where Outsiders entering the campus without checking.,Security,High,2026-03-15
I am facing an issue where Not enough quiet study spaces. needs fixing,Library,Medium,2026-01-26
It is Cafeteria food gave several students food poisoning.,Mess,Medium,2026-04-03
Not enough basketballs available.,Sports,Medium,2026-02-25
This is No security guard present at the back gate.,Security,High,2026-01-15
It is No vegetarian options available in the mess today.,Mess,Low,2026-02-02
Outsiders entering the campus without checking.,Security,High,2026-03-08
This is No vegetarian options available in the mess today.,Mess,Medium,2026-02-20
Hygiene issues at the clinic close to Building C. bad,Health,Medium,2026-04-12
Professor missed the scheduled lecture without notice. terrible,Academic,Medium,2026-01-03
Librarian was unhelpful today.,Library,Medium,2026-03-23
Assignments are graded unfairly.,Academic,Low,2026-02-18
I am facing an issue where Hygiene issues at the clinic close to Hostel A. urgent,Health,High,2026-01-30
Cafeteria food gave several students food poisoning.,Mess,Medium,2026-01-10
I am facing an issue where Parking lot lights are out.,Security,Medium,2026-01-12
Online journal access is revoked. needs fixing,Library,Medium,2026-01-03
Elevator in 3rd floor is stuck frequently.,Maintenance,High,2026-04-15
This is Fan is making weird noises in Hostel A.,Maintenance,Medium,2026-01-12
It is Not enough basketballs available. urgent,Sports,Low,2026-03-03
I am facing an issue where Food is served cold during dinner time. terrible,Mess,High,2026-02-27
It is Water cooler on the 3rd floor is broken. frustrating,Maintenance,Medium,2026-03-07
It is Ambulance took too long to arrive at Room 402.,Health,High,2026-03-12
LAN cable missing in the Hostel B. frustrating,IT,High,2026-04-08
I am facing an issue where Cricket pitch needs to be rolled and cleaned.,Sports,Low,2026-02-05
I am facing an issue where Need better first aid kits in the Main Block.,Health,High,2026-01-03
Window pane is broken in Hostel A.,Maintenance,Medium,2026-01-30
Water cooler on the Hostel A is broken.,Maintenance,High,2026-02-07
This is Water supply in mess area was disrupted. needs fixing,Mess,Medium,2026-03-22
Doctor was not available at the clinic near Building C.,Health,High,2026-04-10
I am facing an issue where Wi-Fi keeps disconnecting in Building C.,IT,Low,2026-03-06
Food is served cold during dinner time.,Mess,Low,2026-01-28
I am facing an issue where Parking lot lights are out. bad,Security,High,2026-02-17
Food is served cold during dinner time.,Mess,Low,2026-03-02
Chairs are uncomfortable in the reading room. frustrating,Library,Low,2026-03-14
I am facing an issue where No vegetarian options available in the mess today.,Mess,High,2026-01-22
Fan is making weird noises in Library Section.,Maintenance,High,2026-01-07
Hygiene issues at the clinic close to Lab 3. terrible,Health,High,2026-01-08
This is Water supply in mess area was disrupted.,Mess,Medium,2026-03-10
There is a water leak in the Hostel A. frustrating,Maintenance,High,2026-02-04
It is Food is served cold during dinner time.,Mess,High,2026-01-01
It is Cafeteria food gave several students food poisoning.,Mess,High,2026-01-08
Cutlery is frequently dirty.,Mess,High,2026-02-22
Librarian was unhelpful today.,Library,Medium,2026-02-27
Bicycles are being stolen from the parking lot.,Security,Medium,2026-02-07
Software licenses expired on lab machines in 3rd floor. very annoying,IT,High,2026-03-21
It is Chairs are uncomfortable in the reading room. very annoying,Library,Medium,2026-01-21
Timetable is poorly managed with no breaks.,Academic,Low,2026-03-05
Water supply in mess area was disrupted. frustrating,Mess,Medium,2026-02-08
I am facing an issue where Campus security personnel are rude to students.,Security,High,2026-02-09
Timetable is poorly managed with no breaks. frustrating,Academic,Medium,2026-02-12
Library closes too early during exam week.,Library,Low,2026-03-18
I am facing an issue where Washrooms lack basic hygiene supplies in Room 402. terrible,Maintenance,Low,2026-03-05
Menu is repetitive and lacks nutrition.,Mess,Medium,2026-03-05
It is Gym equipment requires maintenance.,Sports,Medium,2026-01-22
I am facing an issue where Food is served cold during dinner time.,Mess,High,2026-01-22
I am facing an issue where Sports ground is too muddy to play.,Sports,Medium,2026-04-12
LAN cable missing in the Library Section.,IT,Medium,2026-02-21
Hygiene issues at the clinic close to Lab 3.,Health,Medium,2026-04-11
Outsiders entering the campus without checking. urgent,Security,Medium,2026-02-20
I am facing an issue where Food is served cold during dinner time.,Mess,Low,2026-03-29
Need better first aid kits in the 3rd floor.,Health,High,2026-01-24
Chairs are uncomfortable in the reading room. frustrating,Library,Low,2026-01-26
I am facing an issue where Medical room is closed during night hours near Hostel A.,Health,Medium,2026-03-25
It is Printers not working in the 3rd floor. frustrating,IT,Low,2026-02-22
It is Library closes too early during exam week.,Library,Low,2026-01-10
Not enough quiet study spaces.,Library,Low,2026-02-24
I am facing an issue where CCTV cameras are not functional in Lab 3. needs fixing,Security,High,2026-03-22
It is Not enough basketballs available. frustrating,Sports,Medium,2026-02-20
I am facing an issue where Hostel AC is not cooling in Room 402. Please fix ASAP.,Maintenance,High,2026-02-05
No vegetarian options available in the mess today.,Mess,Medium,2026-04-04
It is Bicycles are being stolen from the parking lot.,Security,Medium,2026-01-15
Software licenses expired on lab machines in Building C. terrible,IT,Medium,2026-02-23
Online journal access is revoked.,Library,Low,2026-02-18
The internet in the Lab 3 is too slow for studying. very annoying,IT,High,2026-01-10
I am facing an issue where Not enough elective courses offered this semester.,Academic,Low,2026-02-17
Chairs are uncomfortable in the reading room.,Library,Medium,2026-03-11
This is Hostel AC is not cooling in 3rd floor. Please fix ASAP.,Maintenance,Medium,2026-01-16
Exam schedule is clashing with placement drives.,Academic,High,2026-02-20
Food is served cold during dinner time. terrible,Mess,High,2026-02-08
Professor missed the scheduled lecture without notice. urgent,Academic,High,2026-03-26
I am facing an issue where Hostel AC is not cooling in Library Section. Please fix ASAP. very annoying,Maintenance,High,2026-02-08
It is Menu is repetitive and lacks nutrition.,Mess,High,2026-04-15
Doctor was not available at the clinic near Library Section.,Health,Medium,2026-02-25
I am facing an issue where Cutlery is frequently dirty.,Mess,Medium,2026-04-08
Outsiders entering the campus without checking.,Security,High,2026-02-20
Not enough elective courses offered this semester. bad,Academic,High,2026-01-29
Sports ground is too muddy to play.,Sports,Medium,2026-02-22
Chairs are uncomfortable in the reading room.,Library,Low,2026-01-30
Timetable is poorly managed with no breaks. very annoying,Academic,High,2026-04-15
Floodlights at the football ground are not working.,Sports,Medium,2026-03-30
Not enough basketballs available.,Sports,Low,2026-03-01
I am facing an issue where Washrooms lack basic hygiene supplies in Hostel A.,Maintenance,Low,2026-04-08
I am facing an issue where Chairs are uncomfortable in the reading room.,Library,Low,2026-03-27
Librarian was unhelpful today. terrible,Library,Medium,2026-01-15
I am facing an issue where CCTV cameras are not functional in Hostel B.,Security,High,2026-01-09
It is Gym equipment requires maintenance.,Sports,Medium,2026-02-21
It is Bicycles are being stolen from the parking lot. bad,Security,High,2026-02-27
I am facing an issue where LAN cable missing in the Lab 3.,IT,Medium,2026-01-08
I am facing an issue where Cafeteria food gave several students food poisoning.,Mess,Medium,2026-03-13
Need better first aid kits in the Lab 3.,Health,High,2026-01-29
Not enough elective courses offered this semester.,Academic,Medium,2026-04-04
It is Exam schedule is clashing with placement drives.,Academic,High,2026-04-12
I am facing an issue where Not enough basketballs available.,Sports,Low,2026-04-07
Online journal access is revoked.,Library,Low,2026-03-03
I am facing an issue where Hostel AC is not cooling in Building C. Please fix ASAP.,Maintenance,Low,2026-01-18
It is Window pane is broken in Hostel B.,Maintenance,Low,2026-04-12
Projector in Library Section is not turning on.,IT,Medium,2026-01-29
Exam schedule is clashing with placement drives.,Academic,Medium,2026-04-01
Printers not working in the Hostel A. frustrating,IT,Medium,2026-01-27
Library closes too early during exam week.,Library,Medium,2026-02-23
Food is served cold during dinner time.,Mess,High,2026-02-19
Bicycles are being stolen from the parking lot.,Security,High,2026-02-22
CCTV cameras are not functional in Hostel A. frustrating,Security,Medium,2026-03-08
Librarian was unhelpful today.,Library,Low,2026-03-02
Not enough basketballs available.,Sports,Medium,2026-02-13
Gym equipment requires maintenance. frustrating,Sports,Low,2026-04-11
This is Library closes too early during exam week. terrible,Library,Medium,2026-01-15
Parking lot lights are out. urgent,Security,High,2026-03-08
I am facing an issue where No security guard present at the back gate.,Security,High,2026-01-27
Course curriculum needs updating for industry standards. terrible,Academic,Low,2026-04-13
It is Online journal access is revoked.,Library,Medium,2026-01-10
Ambulance took too long to arrive at 3rd floor.,Health,Medium,2026-03-06
I am facing an issue where Sports ground is too muddy to play.,Sports,Medium,2026-02-09
Menu is repetitive and lacks nutrition.,Mess,High,2026-03-03
I am facing an issue where CCTV cameras are not functional in Library Section.,Security,High,2026-02-18
Fan is making weird noises in Lab 3.,Maintenance,Medium,2026-01-05
This is Need better first aid kits in the Hostel A.,Health,High,2026-01-06
I am facing an issue where Librarian was unhelpful today.,Library,Medium,2026-03-14
Professor missed the scheduled lecture without notice.,Academic,Medium,2026-04-16
I am facing an issue where Timetable is poorly managed with no breaks.,Academic,Medium,2026-03-18
Floodlights at the football ground are not working.,Sports,Low,2026-04-03
I am facing an issue where Assignments are graded unfairly.,Academic,Medium,2026-01-25
This is Online journal access is revoked.,Library,Medium,2026-04-19
Assignments are graded unfairly. terrible,Academic,Medium,2026-02-25
Librarian was unhelpful today.,Library,Medium,2026-03-27
Course curriculum needs updating for industry standards.,Academic,High,2026-04-12
This is Doctor was not available at the clinic near Lab 3.,Health,High,2026-01-22
I am facing an issue where Outsiders entering the campus without checking.,Security,High,2026-04-17
It is Course curriculum needs updating for industry standards.,Academic,Medium,2026-03-04
This is Menu is repetitive and lacks nutrition.,Mess,Low,2026-04-01
It is Professor missed the scheduled lecture without notice.,Academic,Medium,2026-02-12
I am facing an issue where Course curriculum needs updating for industry standards.,Academic,Medium,2026-03-29
I am facing an issue where Food is served cold during dinner time.,Mess,Low,2026-03-17
This is Timetable is poorly managed with no breaks.,Academic,High,2026-03-04
Online journal access is revoked. urgent,Library,Low,2026-04-14
I am facing an issue where Computers in the Hostel A lab are not working.,IT,Medium,2026-03-19
I am facing an issue where Chairs are uncomfortable in the reading room. needs fixing,Library,Low,2026-04-07
This is Doctor was not available at the clinic near Library Section.,Health,High,2026-01-24
Parking lot lights are out.,Security,High,2026-03-24
I am facing an issue where Not enough quiet study spaces. bad,Library,Low,2026-02-19
CCTV cameras are not functional in 3rd floor. frustrating,Security,Medium,2026-04-13
I am facing an issue where Hostel AC is not cooling in Hostel A. Please fix ASAP.,Maintenance,Medium,2026-03-01
Water supply in mess area was disrupted.,Mess,Medium,2026-03-02
Professor missed the scheduled lecture without notice. terrible,Academic,Medium,2026-04-02
I am facing an issue where Timetable is poorly managed with no breaks. urgent,Academic,Medium,2026-03-18
Outsiders entering the campus without checking. very annoying,Security,High,2026-03-29
Medical room is closed during night hours near Lab 3. bad,Health,High,2026-03-04
Not enough basketballs available.,Sports,Medium,2026-03-18
CCTV cameras are not functional in Hostel A. needs fixing,Security,High,2026-03-01
I am facing an issue where LAN cable missing in the Hostel A.,IT,Medium,2026-02-18
Professor missed the scheduled lecture without notice. very annoying,Academic,Medium,2026-04-13
I am facing an issue where Hygiene issues at the clinic close to Main Block.,Health,High,2026-03-26
Fan is making weird noises in Main Block.,Maintenance,Medium,2026-04-09
This is Elevator in Building C is stuck frequently.,Maintenance,High,2026-04-12
I am facing an issue where Online journal access is revoked.,Library,Medium,2026-01-27
This is Food is served cold during dinner time.,Mess,Medium,2026-02-19
This is Hygiene issues at the clinic close to Hostel A. terrible,Health,Medium,2026-04-14
Gym equipment requires maintenance.,Sports,Medium,2026-02-21
I am facing an issue where Menu is repetitive and lacks nutrition.,Mess,Medium,2026-04-15
Not enough elective courses offered this semester. needs fixing,Academic,Medium,2026-02-08
The internet in the Room 402 is too slow for studying. very annoying,IT,High,2026-03-28
Library closes too early during exam week. terrible,Library,Low,2026-01-09
I am facing an issue where Food is served cold during dinner time.,Mess,Medium,2026-03-24
Online journal access is revoked. very annoying,Library,Medium,2026-02-14
Water cooler on the 3rd floor is broken.,Maintenance,Medium,2026-01-03
Timetable is poorly managed with no breaks. frustrating,Academic,Medium,2026-03-08
It is Hostel AC is not cooling in Library Section. Please fix ASAP.,Maintenance,Low,2026-03-29
Food is served cold during dinner time.,Mess,Low,2026-01-29
